GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
55C11,VD,100.0,1542.0,1505.0,0.0,1100.0,200.0,3998.0,0.08,0.78,0.0599,0.193,0.003,48.0,0.0,0.003,0.536,1.01,0.014,0.19,64.0
55C11,VD,100.0,1541.0,1505.0,0.0,1350.0,200.0,3355.0,0.077,0.7,0.069,0.153,0.001,54.0,0.0,0.003,0.523,1.04,0.016,0.203,63.0
JSPHTLSV,NVD,100.0,1605.0,1505.0,132.0,1200.0,200.0,3708.0,0.116,0.98,0.055,0.1739,0.08,63.0,178.2,0.036,0.194,1.27,0.012,0.2099,67.0
JSPHTLSV,NVD,100.0,1600.0,1505.0,132.0,1300.0,200.0,3370.0,0.132,1.0,0.063,0.186,0.083,54.0,168.3,0.031,0.192,1.36,0.0109,0.225,67.0
JSPHTLSV,NVD,100.0,1605.0,1505.0,132.0,1100.0,200.0,3531.0,0.096,0.96,0.057,0.1719,0.041,63.0,273.9,0.035,0.182,1.29,0.0109,0.218,71.0
E410LS,NVD,100.0,1605.0,1505.0,132.0,1600.0,200.0,2946.0,0.052,0.42,0.055,0.1,0.029,54.0,257.4,0.02,0.195,1.55,0.004,0.2869,61.0
HC78ACRX,VD,100.0,1575.0,1505.0,0.0,1300.0,200.0,3966.0,0.06,0.44,0.056,0.068,0.001,51.0,0.0,0.004,0.782,0.55,0.006,0.165,57.0
E410SHP,NVD,100.0,1575.0,1505.0,110.0,1500.0,100.0,3885.0,0.255,0.42,0.0599,0.098,0.002,58.0,251.9,0.029,0.188,1.53,0.017,0.247,68.0
E410SHP,NVD,97.0,1610.0,1505.0,110.0,1300.0,25.0,3740.0,0.047,0.4,0.063,0.0379,0.001,51.0,337.7,0.036,0.183,1.57,0.0089,0.266,67.0
E410SHP,NVD,105.0,1588.0,1505.0,132.0,1400.0,25.0,3680.0,0.181,1.23,0.0589,0.109,0.021,61.0,379.5,0.026,0.183,1.5,0.012,0.2069,66.0
HC78ACRX,VD,98.0,1555.0,1505.0,0.0,1450.0,200.0,3607.0,0.047,0.43,0.082,0.125,0.001,50.0,0.0,0.003,0.792,0.55,0.0109,0.2119,61.0
HC78ACRX,VD,99.0,1540.0,1505.0,0.0,1250.0,200.0,3437.0,0.057,0.49,0.084,0.08,0.001,53.0,0.0,0.006,0.768,0.53,0.0109,0.229,60.0
E410SHP,NVD,101.0,1588.0,1505.0,132.0,1600.0,25.0,3170.0,0.057,0.44,0.0769,0.049,0.001,51.0,356.4,0.032,0.183,1.55,0.0089,0.2439,64.0
E410SHP,NVD,101.0,1580.0,1505.0,110.0,1450.0,50.0,3191.0,0.087,0.9,0.0719,0.113,0.014,53.0,301.4,0.024,0.179,1.54,0.0109,0.257,67.0
E410SHP,NVD,101.0,1574.0,1505.0,132.0,1500.0,25.0,3650.0,0.084,1.04,0.0609,0.1489,0.015,53.0,363.0,0.033,0.178,1.52,0.003,0.229,64.0
HC78ACRX,VD,99.0,1560.0,1505.0,0.0,1200.0,200.0,3194.0,0.067,0.47,0.068,0.168,0.004,54.0,0.0,0.005,0.76,0.54,0.008,0.2059,70.0
